array_int[1] = 126        array_double[1] = -143.687245
array_int[2] = 132        array_double[2] = -187.414169
array_int[3] = 194        array_double[3] = -118.845180
array_int[4] = 196        array_double[4] = -120.654927
array_int[5] = 114        array_double[5] = -125.107577
array_int[6] = 184        array_double[6] = -137.531662
array_int[7] = 151        array_double[7] = -106.646931
array_int[8] = 122        array_double[8] = -178.920865
array_int[9] = 138        array_double[9] = -176.909697
array_int[10] = 197        array_double[10] = -127.536851
array_int[11] = 166        array_double[11] = -124.820703
array_int[12] = 189        array_double[12] = -186.568803
array_int[13] = 186        array_double[13] = -187.170017
array_int[14] = 184        array_double[14] = -137.968078
array_int[15] = 137        array_double[15] = -147.441024
array_int[16] = 149        array_double[16] = -124.369030
array_int[17] = 193        array_double[17] = -154.631186
array_int[18] = 171        array_double[18] = -199.398786
array_int[19] = 105        array_double[19] = -152.354503
array_int[20] = 152        array_double[20] = -100.030519
