Method left rectangle

   Function: 6x-x^4+5     Bound of integration: from -0.50 to 2.00

         n            h           S1           S2        S1-S2

        20     0.125000    17.291992    17.360046     0.068054

        40     0.062500    17.360046    17.362469     0.002422

        80     0.031250    17.362469    17.355754     0.006715

       160     0.015625    17.355754    17.350413     0.005341

       320     0.007813    17.350413    17.347247     0.003166

       640     0.003906    17.347247    17.345540     0.001707

      1280     0.001953    17.345540    17.344655     0.000885

      2560     0.000977    17.344655    17.344205     0.000450

      5120     0.000488    17.344205    17.343978     0.000227

     10240     0.000244    17.343978    17.343864     0.000114

     20480     0.000122    17.343864    17.343807     0.000057

   Error rate: 0.000057     Answer: 17.343807

Method Trapeze

   Function: 1/sqrt(4-x)     Bound of integration: from -5.00 to 3.50

         n            h           S1           S2        S1-S2

        20     0.425000     4.660689     4.606006     0.054683

        40     0.212500     4.606006     4.590982     0.015024

        80     0.106250     4.590982     4.587096     0.003886

       160     0.053125     4.587096     4.586114     0.000981

       320     0.026562     4.586114     4.585868     0.000246

       640     0.013281     4.585868     4.585807     0.000062

   Error rate: 0.000062     Answer: 4.585807

